Name;MC;MP
Bitcoin;1227136416861.0;55.44315715511053
Ethereum;359526054025.0;16.24371931333752
Tether;110967588826.0;5.013618194252072
BNB;86320772700.0;3.9000522686784396
Solana;65255463152.0;2.9483021195154326
USDC;33252394140.0;1.5023738915707905
XRP;28770018423.0;1.2998560150810796
Dogecoin;21261991716.0;0.9606364312423258
Toncoin;19812506689.0;0.8951473584369479
Cardano;15711283944.0;0.7098503253973808
Shiba Inu;13365369230.0;0.6038597310562133
Avalanche;13116364136.0;0.5926094508352255
TRON;10741056791.0;0.48529087026747053
Polkadot;10006371008.0;0.45209708776145563
Bitcoin Cash;8980672502.0;0.4057550815423039
Chainlink;8106105820.0;0.36624135077324793
NEAR Protocol;7635492139.0;0.34497858983117446
Polygon;6704017149.0;0.30289368912491926
Litecoin;5966959644.0;0.26959275002753647
Internet Computer;5650377110.0;0.255289258627596
UNUS SED LEO;5478015236.0;0.24750178990250002
Dai;5347580173.0;0.24160861323763955
Uniswap;4396942777.0;0.1986579373227521
Ethereum Classic;3932930353.0;0.1776934272713241
Render;3935438055.0;0.17780672756473387
First Digital USD;3836077066.0;0.17331750627480924
Hedera;3850648188.0;0.17397584303009747
Aptos;3667144729.0;0.16568498720017402
Cosmos;3484527432.0;0.15743416898820065
Cronos;3348578827.0;0.15129188540141436
Mantle;3332152842.0;0.15054974422194217
Pepe;3287267432.0;0.14852177992522012
Filecoin;3131781098.0;0.14149676368987318
Stellar;3112084430.0;0.1406068500304371
Stacks;3064724671.0;0.1384670923596625
Immutable;3026354449.0;0.13673349027664045
OKB;3000407643.0;0.13556118960740351
dogwifhat;2918778621.0;0.1318731149704036
Optimism;2728109898.0;0.12325852589244728
Arbitrum;2698898322.0;0.12193871989804991
Kaspa;2676497853.0;0.12092664601119382
Bittensor;2658869246.0;0.12013016925857098
The Graph;2584807160.0;0.11678397578169819
Maker;2555444871.0;0.11545736043470603
VeChain;2543396453.0;0.11491300177704905
Arweave;2538782114.0;0.11470452167750285
Sui;2453982075.0;0.11087317756250781
Monero;2348957963.0;0.1061280911428685
Injective;2205228618.0;0.09963426653368593
Theta Network;2127521680.0;0.09612339527570708
Fetch.ai;1909771257.0;0.08628522996898202
THORChain;1897276832.0;0.08572072030296646
Fantom;1854999633.0;0.0838105973891418
Lido DAO;1746989326.0;0.07893059192023796
Celestia;1709825283.0;0.07725148611891312
FLOKI;1608200169.0;0.07265996956949738
Bitget Token;1573588128.0;0.07109616557651434
Core;1542087963.0;0.06967295901650175
Algorand;1529314969.0;0.06909586334567586
Bonk;1498689646.0;0.06771218295555397
Sei;1489823635.0;0.06731160838661619
Jupiter;1432149342.0;0.0647058305393672
Ethena;1410206305.0;0.06371442385292608
Flow;1310510798.0;0.059210088730675736
Gala;1308190739.0;0.05910526632138308
Aave;1279533884.0;0.05781052313431314
Bitcoin SV;1251104403.0;0.056526052914650696
Worldcoin;1207121717.0;0.05453887452234152
SingularityNET;1201134655.0;0.054268373529295866
Beam;1182829858.0;0.053441345887691484
Quant;1171316915.0;0.052921180485299125
Wormhole;1168747351.0;0.052805085209570495
BitTorrent (New);1163047926.0;0.05254757992195376
dYdX (Native);1157360336.0;0.05229060935057225
Pendle;1155762374.0;0.05221841195093796
Flare;1116905135.0;0.05046280598986516
Chiliz;1108700051.0;0.05009209271346632
Ondo;1094692588.0;0.04945922259260398
Neo;1091408806.0;0.04931085828771696
MultiversX;1060988276.0;0.04793643063455833
Akash Network;1055639706.0;0.047694777300022265
Axie Infinity;1033988439.0;0.046716553051768826
KuCoin Token;989106441.0;0.044688742912359344
The Sandbox;967485544.0;0.04371189080876699
eCash;933836426.0;0.042191592566639124
Starknet;906264296.0;0.040945858257326155
Tezos;911367295.0;0.04117641646718117
Mina;881944868.0;0.0398470840297831
AIOZ Network;870761069.0;0.039341789657431014
EOS;882520240.0;0.03987307986837149
JasmyCoin;874898917.0;0.03952874145333224
Ronin;874235695.0;0.039498776470572795
Synthetix;841895736.0;0.03803762724169294
Conflux;833321541.0;0.03765023718926537
Decentraland;806356134.0;0.03643191518568827
Gnosis;786068590.0;0.03551530520261854
ORDI;783990153.0;0.03542139949853817
Helium;775444388.0;0.03503529393977916
Nervos Network;767315949.0;0.03466804355529825
Axelar;755556687.0;0.03413674923289369
